url,fd_level,n_words,n_users,vocab_entropy,modal_share,mean_pair_sim,top_word,top_word_n
images/FD14/FD_14_54.png,FD14,66,44,5.421372672710517,0.07575757575757576,0.31782926170155407,pig,5
images/FD14/FD_14_55.png,FD14,90,37,6.033139623939182,0.1,0.27542671483010056,skull,9
images/FD14/FD_14_56.png,FD14,84,39,5.537669209185655,0.08333333333333333,0.33119127232581375,dog,7
images/FD14/FD_14_57.png,FD14,70,32,5.832784624056918,0.05714285714285714,0.2847683199867606,dog,4
images/FD14/FD_14_58.png,FD14,83,42,5.775347413144307,0.07228915662650602,0.2915387247130275,face,6
images/FD14/FD_14_59.png,FD14,73,37,5.8834611619402875,0.0684931506849315,0.2775887846760452,man,5
images/FD14/FD_14_6.png,FD14,59,28,5.666458515426866,0.05084745762711865,0.26947637993842366,woman,3
images/FD14/FD_14_60.png,FD14,54,29,5.384517131793096,0.07407407407407407,0.2795355851389468,face,4
images/FD14/FD_14_61.png,FD14,76,41,5.866091329119194,0.039473684210526314,0.2858442605659366,camel,3
images/FD14/FD_14_62.png,FD14,55,31,5.352093523080353,0.09090909090909091,0.3242213719896972,face,5
images/FD14/FD_14_63.png,FD14,63,32,4.9530049232938715,0.19047619047619047,0.3210638285800815,turtle,12
images/FD14/FD_14_64.png,FD14,59,28,5.327475464579409,0.06779661016949153,0.2896484430134296,dog,4
images/FD14/FD_14_65.png,FD14,69,35,5.547233790789754,0.07246376811594203,0.2868501555174589,dragon,5
images/FD14/FD_14_66.png,FD14,49,27,5.436038670601668,0.061224489795918366,0.2832082562148571,face,3
images/FD14/FD_14_67.png,FD14,76,41,5.953657408488319,0.06578947368421052,0.2627474903780967,person,5
images/FD14/FD_14_68.png,FD14,87,36,5.984618174228872,0.05747126436781609,0.275855274470523,man,5
images/FD14/FD_14_69.png,FD14,67,31,5.674079302301199,0.08955223880597014,0.28346637792885304,woman,6
images/FD14/FD_14_7.png,FD14,62,35,5.572720754670692,0.11290322580645161,0.27386846490204336,seahorse,7
images/FD14/FD_14_70.png,FD14,60,35,5.481727678869737,0.05,0.2850716855376959,face,3
images/FD14/FD_14_71.png,FD14,69,36,5.9056259060535305,0.028985507246376812,0.27345089612528684,cat,2
images/FD14/FD_14_72.png,FD14,77,32,5.80432367739053,0.06493506493506493,0.28929318419657646,ghost,5
