url_stimulus,fd_level,n,n_h,n_a,bias
images/FD16/FD_16_26.png,FD16,53,14,16,0.06666666666666667
images/FD16/FD_16_27.png,FD16,71,12,21,0.2727272727272727
images/FD16/FD_16_28.png,FD16,87,22,18,-0.1
images/FD16/FD_16_29.png,FD16,96,20,28,0.16666666666666666
images/FD16/FD_16_3.png,FD16,77,18,25,0.16279069767441862
images/FD16/FD_16_30.png,FD16,72,22,15,-0.1891891891891892
images/FD16/FD_16_31.png,FD16,128,35,29,-0.09375
images/FD16/FD_16_32.png,FD16,99,16,31,0.3191489361702128
images/FD16/FD_16_33.png,FD16,94,25,30,0.09090909090909091
images/FD16/FD_16_34.png,FD16,92,26,23,-0.061224489795918366
images/FD16/FD_16_35.png,FD16,89,26,18,-0.18181818181818182
images/FD16/FD_16_36.png,FD16,89,17,31,0.2916666666666667
images/FD16/FD_16_37.png,FD16,118,26,38,0.1875
images/FD16/FD_16_38.png,FD16,85,19,22,0.07317073170731707
images/FD16/FD_16_39.png,FD16,72,15,26,0.2682926829268293
images/FD16/FD_16_4.png,FD16,105,21,16,-0.13513513513513514
images/FD16/FD_16_40.png,FD16,82,18,15,-0.09090909090909091
images/FD16/FD_16_41.png,FD16,78,5,21,0.6153846153846154
images/FD16/FD_16_42.png,FD16,76,13,19,0.1875
images/FD16/FD_16_43.png,FD16,86,21,19,-0.05
images/FD16/FD_16_44.png,FD16,86,16,24,0.2
images/FD16/FD_16_45.png,FD16,62,15,20,0.14285714285714285
images/FD16/FD_16_46.png,FD16,68,11,22,0.3333333333333333
images/FD16/FD_16_47.png,FD16,86,14,36,0.44
images/FD16/FD_16_48.png,FD16,73,9,22,0.41935483870967744
images/FD16/FD_16_49.png,FD16,91,18,20,0.05263157894736842
images/FD16/FD_16_5.png,FD16,82,15,26,0.2682926829268293
images/FD16/FD_16_50.png,FD16,111,31,22,-0.16981132075471697
images/FD16/FD_16_51.png,FD16,104,41,12,-0.5471698113207547
images/FD16/FD_16_52.png,FD16,91,23,18,-0.12195121951219512
images/FD16/FD_16_53.png,FD16,53,14,10,-0.16666666666666666
images/FD16/FD_16_54.png,FD16,100,27,26,-0.018867924528301886
images/FD16/FD_16_55.png,FD16,79,18,21,0.07692307692307693
images/FD16/FD_16_56.png,FD16,94,22,28,0.12
images/FD16/FD_16_57.png,FD16,61,17,10,-0.25925925925925924
images/FD16/FD_16_58.png,FD16,104,28,24,-0.07692307692307693
images/FD16/FD_16_59.png,FD16,79,15,11,-0.15384615384615385
images/FD16/FD_16_6.png,FD16,105,19,34,0.2830188679245283
images/FD16/FD_16_60.png,FD16,77,20,22,0.047619047619047616
images/FD16/FD_16_61.png,FD16,75,13,25,0.3157894736842105
